$\epsilon$,$p_{\max}$,value,fp_num,name,stability
1.0,0.001,17.1428571428571,0,H,True
1.0,0.001,0.0,0,S,True
1.0,0.001,0.0180900000000000,0,N,True
1.0,0.001,0.150000000000000,0,C,True
1.0,0.001,,1,H,False
1.0,0.001,,1,S,False
1.0,0.001,,1,N,False
1.0,0.001,,1,C,False
1.0,0.001,,2,H,False
1.0,0.001,,2,S,False
1.0,0.001,,2,N,False
1.0,0.001,,2,C,False
1.0,0.001,,3,H,False
1.0,0.001,,3,S,False
1.0,0.001,,3,N,False
1.0,0.001,,3,C,False
1.0,0.07235714285714286,17.1428571428571,0,H,False
1.0,0.07235714285714286,0.0,0,S,False
1.0,0.07235714285714286,0.0180900000000000,0,N,False
1.0,0.07235714285714286,0.150000000000000,0,C,False
1.0,0.07235714285714286,17.1428571428571,1,H,True
1.0,0.07235714285714286,15.1114781172583,1,S,True
1.0,0.07235714285714286,0.0180900000000000,1,N,True
1.0,0.07235714285714286,0.0971098265895958,1,C,True
1.0,0.07235714285714286,,2,H,False
1.0,0.07235714285714286,,2,S,False
1.0,0.07235714285714286,,2,N,False
1.0,0.07235714285714286,,2,C,False
1.0,0.07235714285714286,,3,H,False
1.0,0.07235714285714286,,3,S,False
1.0,0.07235714285714286,,3,N,False
1.0,0.07235714285714286,,3,C,False
1.0,0.1437142857142857,17.1428571428571,0,H,False
1.0,0.1437142857142857,0.0,0,S,False
1.0,0.1437142857142857,0.0180900000000000,0,N,False
1.0,0.1437142857142857,0.150000000000000,0,C,False
1.0,0.1437142857142857,17.1428571428571,1,H,True
1.0,0.1437142857142857,38.7615797172110,1,S,True
1.0,0.1437142857142857,0.0180900000000001,1,N,True
1.0,0.1437142857142857,0.0143344709897611,1,C,True
1.0,0.1437142857142857,,2,H,False
1.0,0.1437142857142857,,2,S,False
1.0,0.1437142857142857,,2,N,False
1.0,0.1437142857142857,,2,C,False
1.0,0.1437142857142857,,3,H,False
1.0,0.1437142857142857,,3,S,False
1.0,0.1437142857142857,,3,N,False
1.0,0.1437142857142857,,3,C,False
1.0,0.21507142857142858,17.1428571428571,0,H,False
1.0,0.21507142857142858,0.0,0,S,False
1.0,0.21507142857142858,0.0180900000000000,0,N,False
1.0,0.21507142857142858,0.150000000000000,0,C,False
1.0,0.21507142857142858,17.1428571428571,1,H,True
1.0,0.21507142857142858,40.6461801671379,1,S,True
1.0,0.21507142857142858,0.0180900000000000,1,N,True
1.0,0.21507142857142858,0.00773836941501615,1,C,True
1.0,0.21507142857142858,,2,H,False
1.0,0.21507142857142858,,2,S,False
1.0,0.21507142857142858,,2,N,False
1.0,0.21507142857142858,,2,C,False
1.0,0.21507142857142858,,3,H,False
1.0,0.21507142857142858,,3,S,False
1.0,0.21507142857142858,,3,N,False
1.0,0.21507142857142858,,3,C,False
1.0,0.2864285714285714,17.1428571428571,0,H,False
1.0,0.2864285714285714,0.0,0,S,False
1.0,0.2864285714285714,0.0180900000000000,0,N,False
1.0,0.2864285714285714,0.150000000000000,0,C,False
1.0,0.2864285714285714,17.1428571428571,1,H,True
1.0,0.2864285714285714,41.3429472735469,1,S,True
1.0,0.2864285714285714,0.0180900000000000,1,N,True
1.0,0.2864285714285714,0.00529968454258674,1,C,True
1.0,0.2864285714285714,,2,H,False
1.0,0.2864285714285714,,2,S,False
1.0,0.2864285714285714,,2,N,False
1.0,0.2864285714285714,,2,C,False
1.0,0.2864285714285714,,3,H,False
1.0,0.2864285714285714,,3,S,False
1.0,0.2864285714285714,,3,N,False
1.0,0.2864285714285714,,3,C,False
1.0,0.35778571428571426,17.1428571428571,0,H,False
1.0,0.35778571428571426,0.0,0,S,False
1.0,0.35778571428571426,0.0180900000000000,0,N,False
1.0,0.35778571428571426,0.150000000000000,0,C,False
1.0,0.35778571428571426,17.1428571428571,1,H,True
1.0,0.35778571428571426,41.7057876160778,1,S,True
1.0,0.35778571428571426,0.0180900000000000,1,N,True
1.0,0.35778571428571426,0.00402974334372752,1,C,True
1.0,0.35778571428571426,104.929870129870,2,H,False
1.0,0.35778571428571426,56.3897820153860,2,S,False
1.0,0.35778571428571426,0.00272727272727273,2,N,False
1.0,0.35778571428571426,0.0153375495409099,2,C,False
1.0,0.35778571428571426,104.929870129870,3,H,True
1.0,0.35778571428571426,37.8198396159104,3,S,True
1.0,0.35778571428571426,0.00272727272727273,3,N,True
1.0,0.35778571428571426,0.0259560373231735,3,C,True
1.0,0.42914285714285716,17.1428571428571,0,H,False
1.0,0.42914285714285716,0.0,0,S,False
1.0,0.42914285714285716,0.0180900000000000,0,N,False
1.0,0.42914285714285716,0.150000000000000,0,C,False
1.0,0.42914285714285716,17.1428571428571,1,H,True
1.0,0.42914285714285716,41.9283502874836,1,S,True
1.0,0.42914285714285716,0.0180900000000000,1,N,True
1.0,0.42914285714285716,0.00325077399380804,1,C,True
1.0,0.42914285714285716,104.929870129870,2,H,False
1.0,0.42914285714285716,66.0283640348646,2,S,False
1.0,0.42914285714285716,0.00272727272727273,2,N,False
1.0,0.42914285714285716,0.00982610727520446,2,C,False
1.0,0.42914285714285716,104.929870129870,3,H,True
1.0,0.42914285714285716,26.0554724048000,3,S,True
1.0,0.42914285714285716,0.00272727272727273,3,N,True
1.0,0.42914285714285716,0.0326830258517305,3,C,True
1.0,0.5005,17.1428571428571,0,H,False
1.0,0.5005,0.0,0,S,False
1.0,0.5005,0.0180900000000000,0,N,False
1.0,0.5005,0.150000000000000,0,C,False
1.0,0.5005,17.1428571428571,1,H,True
1.0,0.5005,42.0788065509972,1,S,True
1.0,0.5005,0.0180900000000000,1,N,True
1.0,0.5005,0.00272417707150965,1,C,True
1.0,0.5005,104.929870129870,2,H,False
1.0,0.5005,70.0720954936990,2,S,False
1.0,0.5005,0.00272727272727273,2,N,False
1.0,0.5005,0.00751385922581921,2,C,False
1.0,0.5005,104.929870129870,3,H,True
1.0,0.5005,20.5746729284681,3,S,True
1.0,0.5005,0.00272727272727273,3,N,True
1.0,0.5005,0.0358170044621387,3,C,True
1.0,0.5718571428571428,17.1428571428571,0,H,False
1.0,0.5718571428571428,0.0,0,S,False
1.0,0.5718571428571428,0.0180900000000000,0,N,False
1.0,0.5718571428571428,0.150000000000000,0,C,False
1.0,0.5718571428571428,17.1428571428571,1,H,True
1.0,0.5718571428571428,42.1873131055379,1,S,True
1.0,0.5718571428571428,0.0180900000000000,1,N,True
1.0,0.5718571428571428,0.00234440413061681,1,C,True
1.0,0.5718571428571428,104.929870129870,2,H,False
1.0,0.5718571428571428,72.4959998467295,2,S,False
1.0,0.5718571428571428,0.00272727272727273,2,N,False
1.0,0.5718571428571428,0.00612784530050096,2,C,False
1.0,0.5718571428571428,104.929870129870,3,H,True
1.0,0.5718571428571428,17.1143790255589,3,S,True
1.0,0.5718571428571428,0.00272727272727273,3,N,True
1.0,0.5718571428571428,0.0377956367993138,3,C,True
1.0,0.6432142857142857,17.1428571428571,0,H,False
1.0,0.6432142857142857,0.0,0,S,False
1.0,0.6432142857142857,0.0180900000000000,0,N,False
1.0,0.6432142857142857,0.150000000000000,0,C,False
1.0,0.6432142857142857,17.1428571428571,1,H,True
1.0,0.6432142857142857,42.2692677805966,1,S,True
1.0,0.6432142857142857,0.0180900000000000,1,N,True
1.0,0.6432142857142857,0.00205756276791182,1,C,True
1.0,0.6432142857142857,104.929870129870,2,H,False
1.0,0.6432142857142857,74.1403172983774,2,S,False
1.0,0.6432142857142857,0.00272727272727273,2,N,False
1.0,0.6432142857142857,0.00518760733988231,2,C,False
1.0,0.6432142857142857,104.929870129870,3,H,True
1.0,0.6432142857142857,14.6872796566908,3,S,True
1.0,0.6432142857142857,0.00272727272727273,3,N,True
1.0,0.6432142857142857,0.0391834776681897,3,C,True
1.0,0.7145714285714285,17.1428571428571,0,H,False
1.0,0.7145714285714285,0.0,0,S,False
1.0,0.7145714285714285,0.0180900000000000,0,N,False
1.0,0.7145714285714285,0.150000000000000,0,C,False
1.0,0.7145714285714285,17.1428571428571,1,H,True
1.0,0.7145714285714285,42.3333541186006,1,S,True
1.0,0.7145714285714285,0.0180900000000000,1,N,True
1.0,0.7145714285714285,0.00183326058489743,1,C,True
1.0,0.7145714285714285,104.929870129870,2,H,False
1.0,0.7145714285714285,75.3372184420321,2,S,False
1.0,0.7145714285714285,0.00272727272727273,2,N,False
1.0,0.7145714285714285,0.00450320671563300,2,C,False
1.0,0.7145714285714285,104.929870129870,3,H,True
1.0,0.7145714285714285,12.8782642377417,3,S,True
1.0,0.7145714285714285,0.00272727272727273,3,N,True
1.0,0.7145714285714285,0.0402178916534793,3,C,True
1.0,0.7859285714285714,17.1428571428571,0,H,False
1.0,0.7859285714285714,0.0,0,S,False
1.0,0.7859285714285714,0.0180900000000000,0,N,False
1.0,0.7859285714285714,0.150000000000000,0,C,False
1.0,0.7859285714285714,17.1428571428571,1,H,True
1.0,0.7859285714285714,42.3848413713612,1,S,True
1.0,0.7859285714285714,0.0180900000000000,1,N,True
1.0,0.7859285714285714,0.00165305520023615,1,C,True
1.0,0.7859285714285714,104.929870129870,2,H,False
1.0,0.7859285714285714,76.2504212866426,2,S,False
1.0,0.7859285714285714,0.00272727272727273,2,N,False
1.0,0.7859285714285714,0.00398102775354355,2,C,False
1.0,0.7859285714285714,104.929870129870,3,H,True
1.0,0.7859285714285714,11.4732860258407,3,S,True
1.0,0.7859285714285714,0.00272727272727273,3,N,True
1.0,0.7859285714285714,0.0410212729271789,3,C,True
1.0,0.8572857142857143,17.1428571428571,0,H,False
1.0,0.8572857142857143,0.0,0,S,False
1.0,0.8572857142857143,0.0180900000000000,0,N,False
1.0,0.8572857142857143,0.150000000000000,0,C,False
