$\epsilon$,"$u_{S,\max}$",value,fp_num,name,stability
1.0,0.001,17.1428571428571,0,H,True
1.0,0.001,0.0,0,S,True
1.0,0.001,0.0180900000000000,0,N,True
1.0,0.001,0.150000000000000,0,C,True
1.0,0.001,,1,H,False
1.0,0.001,,1,S,False
1.0,0.001,,1,N,False
1.0,0.001,,1,C,False
1.0,0.001,,2,H,False
1.0,0.001,,2,S,False
1.0,0.001,,2,N,False
1.0,0.001,,2,C,False
1.0,0.001,,3,H,False
1.0,0.001,,3,S,False
1.0,0.001,,3,N,False
1.0,0.001,,3,C,False
1.0,0.005928571428571429,17.1428571428571,0,H,True
1.0,0.005928571428571429,0.0,0,S,True
1.0,0.005928571428571429,0.0180900000000000,0,N,True
1.0,0.005928571428571429,0.150000000000000,0,C,True
1.0,0.005928571428571429,,1,H,False
1.0,0.005928571428571429,,1,S,False
1.0,0.005928571428571429,,1,N,False
1.0,0.005928571428571429,,1,C,False
1.0,0.005928571428571429,,2,H,False
1.0,0.005928571428571429,,2,S,False
1.0,0.005928571428571429,,2,N,False
1.0,0.005928571428571429,,2,C,False
1.0,0.005928571428571429,,3,H,False
1.0,0.005928571428571429,,3,S,False
1.0,0.005928571428571429,,3,N,False
1.0,0.005928571428571429,,3,C,False
1.0,0.010857142857142857,17.1428571428571,0,H,False
1.0,0.010857142857142857,0.0,0,S,False
1.0,0.010857142857142857,0.0180900000000000,0,N,False
1.0,0.010857142857142857,0.150000000000000,0,C,False
1.0,0.010857142857142857,17.1428571428571,1,H,True
1.0,0.010857142857142857,42.0779220779221,1,S,True
1.0,0.010857142857142857,0.0180900000000000,1,N,True
1.0,0.010857142857142857,0.00272727272727273,1,C,True
1.0,0.010857142857142857,39.6154093097909,2,H,False
1.0,0.010857142857142857,79.7016691344208,2,S,False
1.0,0.010857142857142857,0.0141573033707865,2,N,False
1.0,0.010857142857142857,0.00306889009785311,2,C,False
1.0,0.010857142857142857,39.6154093097913,3,H,True
1.0,0.010857142857142857,1.40582328012013,3,S,True
1.0,0.010857142857142857,0.0141573033707865,3,N,True
1.0,0.010857142857142857,0.121652815724415,3,C,True
1.0,0.01578571428571429,17.1428571428571,0,H,False
1.0,0.01578571428571429,0.0,0,S,False
1.0,0.01578571428571429,0.0180900000000000,0,N,False
1.0,0.01578571428571429,0.150000000000000,0,C,False
1.0,0.01578571428571429,17.1428571428571,1,H,True
1.0,0.01578571428571429,42.0779220779221,1,S,True
1.0,0.01578571428571429,0.0180900000000000,1,N,True
1.0,0.01578571428571429,0.00272727272727273,1,C,True
1.0,0.01578571428571429,74.9446654611208,2,H,False
1.0,0.01578571428571429,97.9549181048134,2,S,False
1.0,0.01578571428571429,0.00797468354430382,2,N,False
1.0,0.01578571428571429,0.00414276336101471,2,C,False
1.0,0.01578571428571429,74.9446654611210,3,H,True
1.0,0.01578571428571429,7.51115641080028,3,S,True
1.0,0.01578571428571429,0.00797468354430382,3,N,True
1.0,0.01578571428571429,0.0765511952120580,3,C,True
1.0,0.020714285714285716,17.1428571428571,0,H,False
1.0,0.020714285714285716,0.0,0,S,False
1.0,0.020714285714285716,0.0180900000000000,0,N,False
1.0,0.020714285714285716,0.150000000000000,0,C,False
1.0,0.020714285714285716,17.1428571428571,1,H,True
1.0,0.020714285714285716,42.0779220779221,1,S,True
1.0,0.020714285714285716,0.0180900000000000,1,N,True
1.0,0.020714285714285716,0.00272727272727273,1,C,True
1.0,0.020714285714285716,88.7962240402769,2,H,False
1.0,0.020714285714285716,90.7932231216087,2,S,False
1.0,0.020714285714285716,0.00555066079295154,2,N,False
1.0,0.020714285714285716,0.00505502420426563,2,C,False
1.0,0.020714285714285716,88.7962240402769,3,H,True
1.0,0.020714285714285716,11.8801224636411,3,S,True
1.0,0.020714285714285716,0.00555066079295154,3,N,True
1.0,0.020714285714285716,0.0583769541697832,3,C,True
1.0,0.025642857142857144,17.1428571428571,0,H,False
1.0,0.025642857142857144,0.0,0,S,False
1.0,0.025642857142857144,0.0180900000000000,0,N,False
1.0,0.025642857142857144,0.150000000000000,0,C,False
1.0,0.025642857142857144,17.1428571428571,1,H,True
1.0,0.025642857142857144,42.0779220779221,1,S,True
1.0,0.025642857142857144,0.0180900000000000,1,N,True
1.0,0.025642857142857144,0.00272727272727273,1,C,True
1.0,0.025642857142857144,96.1899613899615,2,H,False
1.0,0.025642857142857144,83.2353884375339,2,S,False
1.0,0.025642857142857144,0.00425675675675675,2,N,False
1.0,0.025642857142857144,0.00585899683288126,2,C,False
1.0,0.025642857142857144,96.1899613899614,3,H,True
1.0,0.025642857142857144,15.1011216608409,3,S,True
1.0,0.025642857142857144,0.00425675675675675,3,N,True
1.0,0.025642857142857144,0.0483588164349320,3,C,True
1.0,0.030571428571428576,17.1428571428571,0,H,False
1.0,0.030571428571428576,0.0,0,S,False
1.0,0.030571428571428576,0.0180900000000000,0,N,False
1.0,0.030571428571428576,0.150000000000000,0,C,False
1.0,0.030571428571428576,17.1428571428571,1,H,True
1.0,0.030571428571428576,42.0779220779221,1,S,True
1.0,0.030571428571428576,0.0180900000000000,1,N,True
1.0,0.030571428571428576,0.00272727272727273,1,C,True
1.0,0.030571428571428576,100.788258317025,2,H,False
1.0,0.030571428571428576,76.9788862583235,2,S,False
1.0,0.030571428571428576,0.00345205479452054,2,N,False
1.0,0.030571428571428576,0.00658759494877997,2,C,False
1.0,0.030571428571428576,100.788258317025,3,H,True
1.0,0.030571428571428576,17.6613510586851,3,S,True
1.0,0.030571428571428576,0.00345205479452054,3,N,True
1.0,0.030571428571428576,0.0418997649515936,3,C,True
1.0,0.035500000000000004,17.1428571428571,0,H,False
1.0,0.035500000000000004,0.0,0,S,False
1.0,0.035500000000000004,0.0180900000000000,0,N,False
1.0,0.035500000000000004,0.150000000000000,0,C,False
1.0,0.035500000000000004,17.1428571428571,1,H,True
1.0,0.035500000000000004,42.0779220779221,1,S,True
1.0,0.035500000000000004,0.0180900000000000,1,N,True
1.0,0.035500000000000004,0.00272727272727273,1,C,True
1.0,0.035500000000000004,103.924423963134,2,H,False
1.0,0.035500000000000004,71.8667520158772,2,S,False
1.0,0.035500000000000004,0.00290322580645161,2,N,False
1.0,0.035500000000000004,0.00726309926561492,2,C,False
1.0,0.035500000000000004,103.924423963134,3,H,True
1.0,0.035500000000000004,19.8130281238583,3,S,True
1.0,0.035500000000000004,0.00290322580645161,3,N,True
1.0,0.035500000000000004,0.0373159329924496,3,C,True
1.0,0.04042857142857143,17.1428571428571,0,H,False
1.0,0.04042857142857143,0.0,0,S,False
1.0,0.04042857142857143,0.0180900000000000,0,N,False
1.0,0.04042857142857143,0.150000000000000,0,C,False
1.0,0.04042857142857143,17.1428571428571,1,H,True
1.0,0.04042857142857143,42.0779220779221,1,S,True
1.0,0.04042857142857143,0.0180900000000000,1,N,True
1.0,0.04042857142857143,0.00272727272727273,1,C,True
1.0,0.04042857142857143,106.200170406135,2,H,False
1.0,0.04042857142857143,67.6103886109404,2,S,False
1.0,0.04042857142857143,0.00250497017892644,2,N,False
1.0,0.04042857142857143,0.00790190281713465,2,C,False
1.0,0.04042857142857143,106.200170406135,3,H,True
1.0,0.04042857142857143,21.6979949766152,3,S,True
1.0,0.04042857142857143,0.00250497017892644,3,N,True
1.0,0.04042857142857143,0.0338410666388566,3,C,True
1.0,0.04535714285714286,17.1428571428571,0,H,False
1.0,0.04535714285714286,0.0,0,S,False
1.0,0.04535714285714286,0.0180900000000000,0,N,False
1.0,0.04535714285714286,0.150000000000000,0,C,False
1.0,0.04535714285714286,17.1428571428571,1,H,True
1.0,0.04535714285714286,42.0779220779221,1,S,True
1.0,0.04535714285714286,0.0180900000000000,1,N,True
1.0,0.04535714285714286,0.00272727272727273,1,C,True
1.0,0.04535714285714286,107.926873126873,2,H,False
1.0,0.04535714285714286,63.9793441978260,2,S,False
1.0,0.04535714285714286,0.00220279720279721,2,N,False
1.0,0.04535714285714286,0.00851715134793235,2,C,False
1.0,0.04535714285714286,107.926873126873,3,H,True
1.0,0.04535714285714286,23.4045440175822,3,S,True
1.0,0.04535714285714286,0.00220279720279721,3,N,True
1.0,0.04535714285714286,0.0310739802477447,3,C,True
1.0,0.05028571428571429,17.1428571428571,0,H,False
1.0,0.05028571428571429,0.0,0,S,False
1.0,0.05028571428571429,0.0180900000000000,0,N,False
1.0,0.05028571428571429,0.150000000000000,0,C,False
1.0,0.05028571428571429,17.1428571428571,1,H,True
1.0,0.05028571428571429,42.0779220779221,1,S,True
1.0,0.05028571428571429,0.0180900000000000,1,N,True
1.0,0.05028571428571429,0.00272727272727273,1,C,True
1.0,0.05028571428571429,109.281836416314,2,H,False
1.0,0.05028571428571429,60.8045141624031,2,S,False
1.0,0.05028571428571429,0.00196567862714509,2,N,False
1.0,0.05028571428571429,0.00912046906822242,2,C,False
1.0,0.05028571428571429,109.281836416314,3,H,True
1.0,0.05028571428571429,24.9935452375174,3,S,True
1.0,0.05028571428571429,0.00196567862714509,3,N,True
1.0,0.05028571428571429,0.0287820908523562,3,C,True
1.0,0.055214285714285716,17.1428571428571,0,H,False
1.0,0.055214285714285716,0.0,0,S,False
1.0,0.055214285714285716,0.0180900000000000,0,N,False
1.0,0.055214285714285716,0.150000000000000,0,C,False
1.0,0.055214285714285716,17.1428571428571,1,H,True
1.0,0.055214285714285716,42.0779220779221,1,S,True
1.0,0.055214285714285716,0.0180900000000000,1,N,True
1.0,0.055214285714285716,0.00272727272727273,1,C,True
1.0,0.055214285714285716,110.373440643863,2,H,False
1.0,0.055214285714285716,57.9600424403840,2,S,False
1.0,0.055214285714285716,0.00177464788732394,2,N,False
1.0,0.055214285714285716,0.00972338294383200,2,C,False
