$p_{\max}$,"$u_{S,\max}$",value,fp_num,name,stability
0.01,0.001,17.1428571428571,0,H,True
0.01,0.001,0.0,0,S,True
0.01,0.001,0.0180900000000000,0,N,True
0.01,0.001,0.150000000000000,0,C,True
0.01,0.001,,1,H,False
0.01,0.001,,1,S,False
0.01,0.001,,1,N,False
0.01,0.001,,1,C,False
0.01,0.001,,2,H,False
0.01,0.001,,2,S,False
0.01,0.001,,2,N,False
0.01,0.001,,2,C,False
0.01,0.001,,3,H,False
0.01,0.001,,3,S,False
0.01,0.001,,3,N,False
0.01,0.001,,3,C,False
0.01,0.005928571428571429,17.1428571428571,0,H,True
0.01,0.005928571428571429,0.0,0,S,True
0.01,0.005928571428571429,0.0180900000000000,0,N,True
0.01,0.005928571428571429,0.150000000000000,0,C,True
0.01,0.005928571428571429,,1,H,False
0.01,0.005928571428571429,,1,S,False
0.01,0.005928571428571429,,1,N,False
0.01,0.005928571428571429,,1,C,False
0.01,0.005928571428571429,,2,H,False
0.01,0.005928571428571429,,2,S,False
0.01,0.005928571428571429,,2,N,False
0.01,0.005928571428571429,,2,C,False
0.01,0.005928571428571429,,3,H,False
0.01,0.005928571428571429,,3,S,False
0.01,0.005928571428571429,,3,N,False
0.01,0.005928571428571429,,3,C,False
0.01,0.010857142857142857,17.1428571428571,0,H,True
0.01,0.010857142857142857,0.0,0,S,True
0.01,0.010857142857142857,0.0180900000000000,0,N,True
0.01,0.010857142857142857,0.150000000000000,0,C,True
0.01,0.010857142857142857,,1,H,False
0.01,0.010857142857142857,,1,S,False
0.01,0.010857142857142857,,1,N,False
0.01,0.010857142857142857,,1,C,False
0.01,0.010857142857142857,,2,H,False
0.01,0.010857142857142857,,2,S,False
0.01,0.010857142857142857,,2,N,False
0.01,0.010857142857142857,,2,C,False
0.01,0.010857142857142857,,3,H,False
0.01,0.010857142857142857,,3,S,False
0.01,0.010857142857142857,,3,N,False
0.01,0.010857142857142857,,3,C,False
0.01,0.01578571428571429,17.1428571428571,0,H,True
0.01,0.01578571428571429,0.0,0,S,True
0.01,0.01578571428571429,0.0180900000000000,0,N,True
0.01,0.01578571428571429,0.150000000000000,0,C,True
0.01,0.01578571428571429,,1,H,False
0.01,0.01578571428571429,,1,S,False
0.01,0.01578571428571429,,1,N,False
0.01,0.01578571428571429,,1,C,False
0.01,0.01578571428571429,,2,H,False
0.01,0.01578571428571429,,2,S,False
0.01,0.01578571428571429,,2,N,False
0.01,0.01578571428571429,,2,C,False
0.01,0.01578571428571429,,3,H,False
0.01,0.01578571428571429,,3,S,False
0.01,0.01578571428571429,,3,N,False
0.01,0.01578571428571429,,3,C,False
0.01,0.020714285714285716,17.1428571428571,0,H,True
0.01,0.020714285714285716,0.0,0,S,True
0.01,0.020714285714285716,0.0180900000000000,0,N,True
0.01,0.020714285714285716,0.150000000000000,0,C,True
0.01,0.020714285714285716,,1,H,False
0.01,0.020714285714285716,,1,S,False
0.01,0.020714285714285716,,1,N,False
0.01,0.020714285714285716,,1,C,False
0.01,0.020714285714285716,,2,H,False
0.01,0.020714285714285716,,2,S,False
0.01,0.020714285714285716,,2,N,False
0.01,0.020714285714285716,,2,C,False
0.01,0.020714285714285716,,3,H,False
0.01,0.020714285714285716,,3,S,False
0.01,0.020714285714285716,,3,N,False
0.01,0.020714285714285716,,3,C,False
0.01,0.025642857142857144,17.1428571428571,0,H,True
0.01,0.025642857142857144,0.0,0,S,True
0.01,0.025642857142857144,0.0180900000000000,0,N,True
0.01,0.025642857142857144,0.150000000000000,0,C,True
0.01,0.025642857142857144,,1,H,False
0.01,0.025642857142857144,,1,S,False
0.01,0.025642857142857144,,1,N,False
0.01,0.025642857142857144,,1,C,False
0.01,0.025642857142857144,,2,H,False
0.01,0.025642857142857144,,2,S,False
0.01,0.025642857142857144,,2,N,False
0.01,0.025642857142857144,,2,C,False
0.01,0.025642857142857144,,3,H,False
0.01,0.025642857142857144,,3,S,False
0.01,0.025642857142857144,,3,N,False
0.01,0.025642857142857144,,3,C,False
0.01,0.030571428571428576,17.1428571428571,0,H,True
0.01,0.030571428571428576,0.0,0,S,True
0.01,0.030571428571428576,0.0180900000000000,0,N,True
0.01,0.030571428571428576,0.150000000000000,0,C,True
0.01,0.030571428571428576,,1,H,False
0.01,0.030571428571428576,,1,S,False
0.01,0.030571428571428576,,1,N,False
0.01,0.030571428571428576,,1,C,False
0.01,0.030571428571428576,,2,H,False
0.01,0.030571428571428576,,2,S,False
0.01,0.030571428571428576,,2,N,False
0.01,0.030571428571428576,,2,C,False
0.01,0.030571428571428576,,3,H,False
0.01,0.030571428571428576,,3,S,False
0.01,0.030571428571428576,,3,N,False
0.01,0.030571428571428576,,3,C,False
0.01,0.035500000000000004,17.1428571428571,0,H,True
0.01,0.035500000000000004,0.0,0,S,True
0.01,0.035500000000000004,0.0180900000000000,0,N,True
0.01,0.035500000000000004,0.150000000000000,0,C,True
0.01,0.035500000000000004,,1,H,False
0.01,0.035500000000000004,,1,S,False
0.01,0.035500000000000004,,1,N,False
0.01,0.035500000000000004,,1,C,False
0.01,0.035500000000000004,,2,H,False
0.01,0.035500000000000004,,2,S,False
0.01,0.035500000000000004,,2,N,False
0.01,0.035500000000000004,,2,C,False
0.01,0.035500000000000004,,3,H,False
0.01,0.035500000000000004,,3,S,False
0.01,0.035500000000000004,,3,N,False
0.01,0.035500000000000004,,3,C,False
0.01,0.04042857142857143,17.1428571428571,0,H,True
0.01,0.04042857142857143,0.0,0,S,True
0.01,0.04042857142857143,0.0180900000000000,0,N,True
0.01,0.04042857142857143,0.150000000000000,0,C,True
0.01,0.04042857142857143,,1,H,False
0.01,0.04042857142857143,,1,S,False
0.01,0.04042857142857143,,1,N,False
0.01,0.04042857142857143,,1,C,False
0.01,0.04042857142857143,,2,H,False
0.01,0.04042857142857143,,2,S,False
0.01,0.04042857142857143,,2,N,False
0.01,0.04042857142857143,,2,C,False
0.01,0.04042857142857143,,3,H,False
0.01,0.04042857142857143,,3,S,False
0.01,0.04042857142857143,,3,N,False
0.01,0.04042857142857143,,3,C,False
0.01,0.04535714285714286,17.1428571428571,0,H,True
0.01,0.04535714285714286,0.0,0,S,True
0.01,0.04535714285714286,0.0180900000000000,0,N,True
0.01,0.04535714285714286,0.150000000000000,0,C,True
0.01,0.04535714285714286,,1,H,False
0.01,0.04535714285714286,,1,S,False
0.01,0.04535714285714286,,1,N,False
0.01,0.04535714285714286,,1,C,False
0.01,0.04535714285714286,,2,H,False
0.01,0.04535714285714286,,2,S,False
0.01,0.04535714285714286,,2,N,False
0.01,0.04535714285714286,,2,C,False
0.01,0.04535714285714286,,3,H,False
0.01,0.04535714285714286,,3,S,False
0.01,0.04535714285714286,,3,N,False
0.01,0.04535714285714286,,3,C,False
0.01,0.05028571428571429,17.1428571428571,0,H,True
0.01,0.05028571428571429,0.0,0,S,True
0.01,0.05028571428571429,0.0180900000000000,0,N,True
0.01,0.05028571428571429,0.150000000000000,0,C,True
0.01,0.05028571428571429,,1,H,False
0.01,0.05028571428571429,,1,S,False
0.01,0.05028571428571429,,1,N,False
0.01,0.05028571428571429,,1,C,False
0.01,0.05028571428571429,,2,H,False
0.01,0.05028571428571429,,2,S,False
0.01,0.05028571428571429,,2,N,False
0.01,0.05028571428571429,,2,C,False
0.01,0.05028571428571429,,3,H,False
0.01,0.05028571428571429,,3,S,False
0.01,0.05028571428571429,,3,N,False
0.01,0.05028571428571429,,3,C,False
0.01,0.055214285714285716,17.1428571428571,0,H,True
0.01,0.055214285714285716,0.0,0,S,True
0.01,0.055214285714285716,0.0180900000000000,0,N,True
0.01,0.055214285714285716,0.150000000000000,0,C,True
0.01,0.055214285714285716,,1,H,False
0.01,0.055214285714285716,,1,S,False
0.01,0.055214285714285716,,1,N,False
0.01,0.055214285714285716,,1,C,False
0.01,0.055214285714285716,,2,H,False
0.01,0.055214285714285716,,2,S,False
0.01,0.055214285714285716,,2,N,False
0.01,0.055214285714285716,,2,C,False
0.01,0.055214285714285716,,3,H,False
0.01,0.055214285714285716,,3,S,False
0.01,0.055214285714285716,,3,N,False
0.01,0.055214285714285716,,3,C,False
0.01,0.06014285714285715,17.1428571428571,0,H,True
0.01,0.06014285714285715,0.0,0,S,True
0.01,0.06014285714285715,0.0180900000000000,0,N,True
0.01,0.06014285714285715,0.150000000000000,0,C,True
0.01,0.06014285714285715,,1,H,False
0.01,0.06014285714285715,,1,S,False
0.01,0.06014285714285715,,1,N,False
0.01,0.06014285714285715,,1,C,False
0.01,0.06014285714285715,,2,H,False
0.01,0.06014285714285715,,2,S,False
0.01,0.06014285714285715,,2,N,False
0.01,0.06014285714285715,,2,C,False
0.01,0.06014285714285715,,3,H,False
0.01,0.06014285714285715,,3,S,False
0.01,0.06014285714285715,,3,N,False
